"Artists","Name","Rank","Date","Genre","Writing.Credits","Songwriter","word"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","god"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","ready"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","gun"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","god"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","ready"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","gun"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","god"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","ready"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","gun"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","god"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","huh"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","nah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","real"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","straight"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","house"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","hills"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wanna"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","body"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","nigga"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","killed"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wet"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wanna"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","tweet"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","nigga"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","killed"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wet"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","killed"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","real"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","lil"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wanna"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","chasing"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","mil's"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dunk"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","o'neal"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wet"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","shoot"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","shoot"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","reggie"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","mill"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","chopper"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","sting"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","eel"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dog"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","fast"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","m's"
